# BLASTP 2.12.0+
# Query: 
# Database: db_entries.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 10 hits found
Query_1	WO97220	100.000	474	0	0	1	474	1	474	0.0	969
Query_1	WO44889	100.000	474	0	0	1	474	1	474	0.0	969
Query_1	WO30599	100.000	474	0	0	1	474	1	474	0.0	969
Query_1	WO77410	100.000	474	0	0	1	474	1	474	0.0	969
Query_1	WO85966	99.789	474	1	0	1	474	1	474	0.0	968
Query_1	WO56319	99.789	474	1	0	1	474	1	474	0.0	967
Query_1	WO46088	99.789	474	1	0	1	474	1	474	0.0	967
Query_1	WO46972	99.789	474	1	0	1	474	1	474	0.0	967
Query_1	WO53732	99.789	474	1	0	1	474	1	474	0.0	967
Query_1	WO5991	99.367	474	3	0	1	474	1	474	0.0	965
# BLAST processed 1 queries
